empid,gender,age,maritalstatus,joblevel,experience,occupation,emptype,wlb,workenv,physicalactivityhours,workload,stress,sleephours,commutemode,commutedistance,numcompanies,teamsize,numreports,edulevel,haveot,traininghoursperyear,jobsatisfaction,work_schedule_variability,work_schedule_variability_logit,pause_work,pause_work_logit,work_pace,work_pace_pca
406,Male,31,Married,Mid,9,IT,Full-Time,5,4,2.5,1,1,6.2,Public Transport,16,3,13,0,Bachelor,False,34.5,5,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
427,Female,45,Married,Mid,23,Legal,Full-Time,5,5,1.2,4,1,7.2,Car,29,7,13,0,Bachelor,False,41.5,5,0.379,-0.4937964871557141,0.934,2.6498065448020496,0.9477771405175616,-0.7161813628788973
474,Female,49,Divorced,Mid,18,Finance,Full-Time,5,5,2.3,2,2,6.5,Bike,7,9,13,0,Bachelor,False,39.0,5,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
548,Female,31,Single,Senior,9,Marketing,Part-Time,5,3,0.4,1,1,6.8,Public Transport,17,3,24,6,Bachelor,False,44.5,5,0.236,-1.1747372930405775,0.995,5.293104844721825,7.93258469151263,4.4833271048674606
551,Female,27,Married,Junior,5,Legal,Part-Time,5,4,2.0,4,1,8.7,Walk,2,1,10,0,Bachelor,False,22.5,5,0.379,-0.4937964871557141,0.934,2.6498065448020496,0.9477771405175616,-0.7161813628788973
568,Female,24,Married,Junior,2,Finance,Full-Time,5,2,3.2,2,1,9.0,Car,24,0,8,0,Bachelor,False,21.0,5,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
603,Male,56,Married,Senior,14,Finance,Full-Time,5,4,2.1,1,1,5.4,Car,10,11,18,1,Bachelor,False,47.0,5,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
638,Female,48,Divorced,Senior,26,Marketing,Part-Time,4,5,2.1,2,2,7.2,Car,27,8,24,7,Bachelor,False,53.0,5,0.236,-1.1747372930405775,0.995,5.293104844721825,7.93258469151263,4.4833271048674606
659,Male,22,Single,Intern/Fresher,0,Operations,Full-Time,5,3,1.5,2,1,7.8,Walk,1,0,26,0,Bachelor,False,10.0,5,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
739,Male,35,Married,Senior,4,IT,Full-Time,5,4,2.7,1,1,7.9,Car,21,4,24,1,Bachelor,True,42.0,5,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
810,Male,22,Single,Intern/Fresher,0,Legal,Part-Time,5,4,2.1,2,2,9.5,Bike,7,0,23,0,Bachelor,False,10.0,5,0.379,-0.4937964871557141,0.934,2.6498065448020496,0.9477771405175616,-0.7161813628788973
905,Male,25,Single,Junior,3,Finance,Full-Time,5,5,0.9,3,1,7.4,Walk,1,1,8,0,Bachelor,False,21.5,5,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
920,Male,24,Single,Junior,2,Finance,Part-Time,5,5,4.6,1,3,8.0,Public Transport,6,0,5,0,Bachelor,False,21.0,5,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
932,Male,26,Single,Junior,4,IT,Part-Time,5,5,1.6,2,1,7.3,Bike,1,1,9,0,Bachelor,True,22.0,5,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
937,Female,31,Single,Senior,2,Marketing,Part-Time,5,4,2.6,3,1,7.1,Public Transport,18,3,19,7,Bachelor,False,41.0,5,0.236,-1.1747372930405775,0.995,5.293104844721825,7.93258469151263,4.4833271048674606
972,Female,30,Single,Senior,5,Finance,Full-Time,4,4,2.5,1,1,7.3,Car,23,2,23,4,Bachelor,False,42.5,5,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
1035,Male,29,Single,Mid,3,IT,Part-Time,5,5,2.4,1,1,7.1,Car,10,2,12,0,Bachelor,False,31.5,5,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
1081,Female,23,Single,Junior,1,Operations,Full-Time,4,5,2.6,2,1,7.8,Motorbike,23,0,9,0,Bachelor,False,20.5,5,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
1091,Male,37,Married,Senior,11,HR,Full-Time,4,5,4.1,1,1,6.9,Public Transport,5,5,23,4,Bachelor,False,45.5,5,0.078,-2.4698374814651123,0.995,5.293104844721825,1.4438351144895296,-0.913156847486076
1122,Male,30,Married,Mid,8,Operations,Full-Time,5,1,2.0,1,2,9.7,Car,10,2,10,0,Bachelor,False,34.0,5,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
1179,Male,34,Married,Mid,2,Finance,Part-Time,4,4,3.2,2,1,7.6,Motorbike,24,4,15,0,Bachelor,False,31.0,5,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
1200,Female,32,Married,Senior,8,Sales,Contract,4,5,3.5,2,1,6.5,Public Transport,9,3,17,2,Bachelor,False,44.0,5,0.605,0.4263401614873545,0.4579999999999999,-0.1683986623422096,0.6746426975192413,-0.5879664889980762
1251,Male,27,Single,Junior,5,IT,Full-Time,5,5,2.3,1,1,9.4,Public Transport,26,1,7,0,Bachelor,False,22.5,5,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
1277,Male,29,Single,Junior,7,Legal,Contract,5,4,1.7,3,1,7.4,Public Transport,13,2,6,0,Bachelor,False,23.5,5,0.379,-0.4937964871557141,0.934,2.6498065448020496,0.9477771405175616,-0.7161813628788973
1284,Female,38,Married,Senior,8,Operations,Full-Time,5,5,2.6,1,1,8.5,Bike,7,5,19,4,Bachelor,False,44.0,5,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
1317,Female,23,Single,Intern/Fresher,1,Finance,Full-Time,3,3,2.7,1,1,8.8,Public Transport,12,0,25,0,Bachelor,False,10.5,5,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
1328,Female,43,Married,Mid,6,HR,Full-Time,5,4,2.5,2,2,7.3,Walk,1,7,11,0,Bachelor,False,33.0,5,0.078,-2.4698374814651123,0.995,5.293104844721825,1.4438351144895296,-0.913156847486076
1332,Female,27,Single,Mid,5,Marketing,Part-Time,5,4,2.2,2,1,6.3,Walk,2,1,15,0,Bachelor,False,32.5,5,0.236,-1.1747372930405775,0.995,5.293104844721825,7.93258469151263,4.4833271048674606
1350,Female,43,Married,Mid,4,Finance,Full-Time,5,5,0.6,3,2,7.6,Motorbike,21,7,14,0,Bachelor,False,32.0,5,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
1371,Male,25,Single,Junior,3,Marketing,Full-Time,4,5,0.9,2,1,7.5,Car,15,1,10,0,Bachelor,False,21.5,5,0.236,-1.1747372930405775,0.995,5.293104844721825,7.93258469151263,4.4833271048674606
1377,Female,22,Single,Intern/Fresher,0,Operations,Full-Time,4,5,1.6,1,1,7.9,Car,21,0,30,0,Bachelor,False,10.0,5,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
1419,Male,28,Married,Mid,5,Finance,Part-Time,5,5,1.7,1,3,8.0,Walk,2,2,10,0,Bachelor,False,32.5,5,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
1461,Male,28,Married,Junior,6,IT,Full-Time,4,5,2.8,2,1,6.4,Motorbike,18,2,9,0,Bachelor,False,23.0,5,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
1593,Male,29,Single,Junior,7,Marketing,Full-Time,2,5,1.7,3,1,9.4,Public Transport,8,2,5,0,Bachelor,False,23.5,5,0.236,-1.1747372930405775,0.995,5.293104844721825,7.93258469151263,4.4833271048674606
1614,Male,36,Married,Mid,14,Operations,Part-Time,4,4,3.0,2,3,9.3,Car,21,4,10,0,Bachelor,False,37.0,5,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
1642,Male,26,Single,Junior,3,Finance,Full-Time,5,2,0.9,1,1,7.1,Public Transport,19,1,8,0,Bachelor,False,21.5,5,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
1669,Female,26,Single,Mid,3,IT,Contract,4,4,2.3,2,1,7.7,Car,15,1,14,0,Bachelor,False,31.5,5,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
1767,Female,28,Single,Junior,6,IT,Part-Time,4,4,1.5,3,1,9.7,Car,25,2,9,0,Bachelor,False,23.0,5,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
1885,Male,47,Married,Mid,25,Sales,Full-Time,4,3,1.7,1,1,7.4,Motorbike,12,8,14,0,Bachelor,False,42.5,5,0.605,0.4263401614873545,0.4579999999999999,-0.1683986623422096,0.6746426975192413,-0.5879664889980762
1905,Male,33,Single,Mid,3,Finance,Part-Time,5,5,0.5,3,1,7.5,Car,22,3,13,0,Bachelor,False,31.5,5,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
1921,Female,28,Single,Junior,6,Finance,Contract,5,5,1.5,1,3,6.7,Bike,10,2,7,0,Bachelor,False,23.0,5,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
1981,Female,29,Single,Junior,7,Finance,Full-Time,4,4,3.9,1,1,7.6,Car,18,2,10,0,Bachelor,False,23.5,5,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
2021,Female,26,Married,Junior,2,Finance,Full-Time,4,4,2.2,1,1,6.6,Public Transport,29,1,5,0,Bachelor,False,21.0,5,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
2090,Female,35,Married,Senior,13,Operations,Full-Time,5,3,1.0,1,1,7.1,Public Transport,27,4,17,8,Bachelor,False,46.5,5,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
2096,Male,25,Single,Mid,3,Finance,Contract,4,3,0.3,2,1,8.8,Public Transport,15,1,10,0,Bachelor,False,31.5,5,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
2166,Male,33,Married,Senior,11,Finance,Part-Time,4,5,2.1,4,1,8.1,Public Transport,6,3,17,6,Bachelor,False,45.5,5,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
2176,Male,27,Single,Junior,5,HR,Full-Time,3,5,1.9,2,1,8.2,Public Transport,21,1,6,0,Bachelor,False,22.5,5,0.078,-2.4698374814651123,0.995,5.293104844721825,1.4438351144895296,-0.913156847486076
2217,Other,29,Single,Junior,7,Finance,Full-Time,4,4,3.5,2,1,9.5,Bike,2,2,6,0,Bachelor,False,23.5,5,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
2228,Female,26,Single,Junior,4,Finance,Full-Time,4,3,3.3,1,1,8.0,Bike,9,1,7,0,Bachelor,False,22.0,5,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
2239,Female,27,Single,Junior,5,Operations,Full-Time,2,5,2.8,1,1,8.6,Car,7,1,7,0,Bachelor,False,22.5,5,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
2402,Female,27,Single,Mid,2,Finance,Full-Time,5,3,2.5,4,1,9.5,Car,20,1,15,0,Bachelor,False,31.0,5,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
2768,Female,28,Single,Junior,6,IT,Part-Time,2,1,0.7,1,1,7.2,Public Transport,8,2,8,0,Bachelor,False,23.0,5,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
2769,Female,38,Married,Mid,12,Marketing,Full-Time,2,1,1.4,1,1,8.4,Public Transport,16,5,11,0,Bachelor,False,36.0,5,0.236,-1.1747372930405775,0.995,5.293104844721825,7.93258469151263,4.4833271048674606
2772,Female,28,Single,Junior,6,Sales,Part-Time,4,4,2.7,4,1,6.2,Car,21,2,9,0,Bachelor,False,23.0,5,0.605,0.4263401614873545,0.4579999999999999,-0.1683986623422096,0.6746426975192413,-0.5879664889980762
2779,Female,31,Married,Mid,9,Finance,Full-Time,2,1,4.2,1,1,8.5,Public Transport,25,3,13,0,Bachelor,False,34.5,5,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
2786,Other,31,Single,Senior,9,Sales,Part-Time,4,4,1.7,3,1,6.9,Public Transport,23,3,18,4,Bachelor,False,44.5,5,0.605,0.4263401614873545,0.4579999999999999,-0.1683986623422096,0.6746426975192413,-0.5879664889980762
2788,Male,47,Single,Mid,4,Finance,Full-Time,1,2,2.0,1,2,6.1,Car,19,8,11,0,Bachelor,False,32.0,5,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
2790,Male,48,Married,Mid,17,IT,Full-Time,5,3,2.5,1,1,7.3,Motorbike,22,8,14,0,Bachelor,True,38.5,5,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
2792,Female,39,Single,Senior,5,Marketing,Full-Time,3,2,3.0,3,2,8.2,Bike,6,5,22,8,Bachelor,False,42.5,5,0.236,-1.1747372930405775,0.995,5.293104844721825,7.93258469151263,4.4833271048674606
2795,Female,23,Single,Intern/Fresher,1,Sales,Full-Time,2,5,3.3,1,1,6.5,Public Transport,7,0,28,0,Bachelor,False,10.5,5,0.605,0.4263401614873545,0.4579999999999999,-0.1683986623422096,0.6746426975192413,-0.5879664889980762
2798,Female,22,Single,Intern/Fresher,0,Finance,Contract,3,3,1.5,2,1,6.0,Public Transport,5,0,30,0,Bachelor,False,10.0,5,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
2800,Male,26,Married,Junior,4,IT,Full-Time,2,1,2.4,1,2,6.9,Walk,2,1,10,0,Bachelor,False,22.0,5,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
2807,Male,35,Married,Mid,13,Marketing,Full-Time,4,3,0.6,5,1,5.4,Motorbike,8,4,10,0,Bachelor,False,36.5,5,0.236,-1.1747372930405775,0.995,5.293104844721825,7.93258469151263,4.4833271048674606
2808,Female,25,Single,Junior,3,Operations,Full-Time,4,1,1.3,1,1,6.8,Car,16,1,9,0,Bachelor,False,21.5,5,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
2809,Female,32,Single,Mid,10,IT,Full-Time,5,1,1.5,3,1,7.6,Car,11,3,10,0,Bachelor,True,35.0,5,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
2813,Female,24,Single,Junior,2,Operations,Part-Time,3,3,2.5,2,1,5.9,Bike,5,0,10,0,Bachelor,False,21.0,5,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
2816,Male,31,Married,Mid,9,Operations,Part-Time,5,1,2.5,1,3,8.0,Public Transport,21,3,10,0,Bachelor,False,34.5,5,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
2817,Female,34,Married,Senior,12,IT,Full-Time,4,4,0.0,4,1,6.8,Car,20,4,18,1,Bachelor,True,46.0,5,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
2823,Female,39,Married,Senior,7,Marketing,Part-Time,3,2,1.5,2,1,4.9,Public Transport,27,5,17,1,Bachelor,False,43.5,5,0.236,-1.1747372930405775,0.995,5.293104844721825,7.93258469151263,4.4833271048674606
2827,Female,37,Married,Mid,15,Sales,Full-Time,2,5,3.4,5,1,7.5,Walk,2,5,10,0,Bachelor,True,37.5,5,0.605,0.4263401614873545,0.4579999999999999,-0.1683986623422096,0.6746426975192413,-0.5879664889980762
2829,Male,31,Single,Mid,9,Operations,Full-Time,3,3,3.2,2,1,7.2,Car,26,3,11,0,Bachelor,False,34.5,5,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
2830,Male,39,Married,Senior,2,Customer Service,Contract,1,2,0.8,2,1,6.3,Car,10,5,18,3,Bachelor,False,41.0,5,0.42,-0.3227751163994959,0.413,-0.3515789304431254,1.9559452838098923,0.0145417348883126
2832,Male,24,Single,Mid,2,IT,Part-Time,5,2,2.6,5,1,6.8,Car,29,0,15,0,Bachelor,False,31.0,5,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
2833,Male,27,Single,Junior,5,Sales,Full-Time,5,5,2.2,5,2,7.5,Walk,1,1,7,0,Bachelor,False,22.5,5,0.605,0.4263401614873545,0.4579999999999999,-0.1683986623422096,0.6746426975192413,-0.5879664889980762
2836,Male,24,Single,Junior,2,IT,Contract,1,2,1.0,2,1,8.5,Bike,10,0,7,0,Bachelor,True,21.0,5,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
2837,Male,42,Single,Senior,11,Legal,Full-Time,2,2,2.0,3,1,6.8,Bike,9,6,17,6,Bachelor,False,45.5,5,0.379,-0.4937964871557141,0.934,2.6498065448020496,0.9477771405175616,-0.7161813628788973
2840,Female,24,Single,Junior,2,Marketing,Full-Time,4,4,2.1,3,3,7.1,Walk,2,0,10,0,Bachelor,False,21.0,5,0.236,-1.1747372930405775,0.995,5.293104844721825,7.93258469151263,4.4833271048674606
2844,Female,23,Single,Junior,1,Sales,Part-Time,4,1,1.3,2,1,7.0,Public Transport,21,0,10,0,Bachelor,False,20.5,5,0.605,0.4263401614873545,0.4579999999999999,-0.1683986623422096,0.6746426975192413,-0.5879664889980762
2847,Male,23,Single,Intern/Fresher,1,Sales,Full-Time,5,2,0.0,4,2,6.9,Car,26,0,23,0,Bachelor,False,10.5,5,0.605,0.4263401614873545,0.4579999999999999,-0.1683986623422096,0.6746426975192413,-0.5879664889980762
2848,Female,35,Married,Mid,13,HR,Full-Time,4,2,3.6,4,2,6.5,Bike,5,4,10,0,Bachelor,False,36.5,5,0.078,-2.4698374814651123,0.995,5.293104844721825,1.4438351144895296,-0.913156847486076
2855,Other,28,Single,Mid,6,Legal,Part-Time,2,4,1.9,2,2,5.6,Car,9,2,12,0,Bachelor,False,33.0,5,0.379,-0.4937964871557141,0.934,2.6498065448020496,0.9477771405175616,-0.7161813628788973
2857,Male,26,Married,Mid,4,Finance,Full-Time,3,5,3.2,4,2,8.6,Public Transport,23,1,10,0,Bachelor,False,32.0,5,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
2863,Male,26,Single,Mid,4,IT,Full-Time,4,5,2.9,4,1,8.6,Car,11,1,15,0,Bachelor,True,32.0,5,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
2865,Female,24,Single,Junior,2,Legal,Full-Time,4,5,2.7,4,1,7.8,Car,5,0,5,0,Bachelor,False,21.0,5,0.379,-0.4937964871557141,0.934,2.6498065448020496,0.9477771405175616,-0.7161813628788973
2867,Female,33,Married,Mid,5,Operations,Full-Time,3,4,1.4,4,1,7.3,Car,20,3,13,0,Bachelor,False,32.5,5,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
2872,Female,25,Single,Mid,3,Finance,Part-Time,5,1,3.1,4,1,8.4,Public Transport,29,1,10,0,Bachelor,False,31.5,5,0.2789999999999999,-0.9494287424251738,0.977,3.748948958797915,1.2462178102254324,-0.7401193827985633
2878,Male,36,Married,Senior,9,Operations,Full-Time,4,4,0.6,4,1,8.9,Public Transport,9,4,25,3,Bachelor,False,44.5,5,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
2880,Male,29,Single,Junior,7,Sales,Full-Time,2,5,2.3,4,1,6.3,Bike,10,2,8,0,Bachelor,False,23.5,5,0.605,0.4263401614873545,0.4579999999999999,-0.1683986623422096,0.6746426975192413,-0.5879664889980762
2884,Male,36,Divorced,Senior,14,Operations,Full-Time,5,3,2.3,3,5,7.1,Motorbike,7,4,18,3,Bachelor,False,47.0,5,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
2885,Male,58,Married,Senior,6,Operations,Full-Time,1,2,3.2,1,1,5.5,Public Transport,6,12,25,5,Bachelor,False,43.0,5,0.341,-0.6588425746685219,0.957,3.102580020215852,1.2378562988634576,-0.963264164870842
2886,Male,36,Single,Mid,3,IT,Full-Time,3,3,0.1,3,2,9.0,Car,18,4,11,0,Bachelor,True,31.5,5,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
2888,Male,46,Divorced,Mid,8,IT,Part-Time,1,5,3.6,3,1,7.5,Car,13,8,14,0,Bachelor,True,34.0,5,0.276,-0.964391907883082,0.944,2.8247566184269326,1.4475152754503298,-0.5771805927233176
2890,Female,22,Single,Junior,0,Marketing,Full-Time,1,4,2.1,2,1,6.4,Bike,10,0,8,0,Bachelor,False,20.0,5,0.236,-1.1747372930405775,0.995,5.293104844721825,7.93258469151263,4.4833271048674606
2892,Male,31,Married,Senior,9,Legal,Part-Time,4,5,1.7,1,1,6.0,Bike,9,3,24,8,Bachelor,True,44.5,5,0.379,-0.4937964871557141,0.934,2.6498065448020496,0.9477771405175616,-0.7161813628788973
